"","country","best_score"
"1","United States of America",415
"2","United Kingdom",407
"3","Switzerland",376
"4","Canada",350
"5","Hong Kong",324
"6","Singapore",324
"7","Japan",319
"8","Australia",316
"9","Sweden",314
"10","Germany",312
"11","South Korea",294
"12","Belgium",291
"13","China",273
"14","Netherlands",257
"15","France",252
"16","Finland",189
"17","Italy",189
"18","Denmark",181
"19","Republic of Ireland",175
"20","Turkey",141
"21","South Africa",136
"22","Taiwan",136
"23","Norway",126
"24","Austria",117
"25","Spain",113
"26","Israel",106
"27","Russian Federation",94
"28","New Zealand",93
"29","Egypt",91
"30","Brazil",80
"31","Luxembourg",69
"32","Argentina",1
"33","Bangladesh",1
"34","Belarus",1
"35","Chile",1
"36","Colombia",1
"37","Cyprus",1
"38","Czech Republic",1
"39","Estonia",1
"40","Ghana",1
"41","Greece",1
"42","Hungary",1
"43","Iceland",1
"44","India",1
"45","Indonesia",1
"46","Iran",1
"47","Jordan",1
"48","Kenya",1
"49","Latvia",1
"50","Lebanon",1
"51","Lithuania",1
"52","Macau",1
"53","Malaysia",1
"54","Mexico",1
"55","Morocco",1
"56","Nigeria",1
"57","Oman",1
"58","Pakistan",1
"59","Poland",1
"60","Portugal",1
"61","Qatar",1
"62","Romania",1
"63","Saudi Arabia",1
"64","Serbia",1
"65","Slovakia",1
"66","Slovenia",1
"67","Thailand",1
"68","Uganda",1
"69","Ukraine",1
"70","Unisted States of America",1
"71","United Arab Emirates",1
"72","Unted Kingdom",1
